date,year,month,day,weekday,hour,demand,temperature
2013-01-01,2013,1,1,3,1,12598.0,33
2013-01-01,2013,1,1,3,2,11953.0,33
2013-01-01,2013,1,1,3,3,11489.0,33
2013-01-01,2013,1,1,3,4,11239.0,34
2013-01-01,2013,1,1,3,5,11253.0,33
2013-01-01,2013,1,1,3,6,11551.0,33
2013-01-01,2013,1,1,3,7,12025.0,33
2013-01-01,2013,1,1,3,8,12379.0,32
2013-01-01,2013,1,1,3,9,12994.0,32
2013-01-01,2013,1,1,3,10,13739.0,33
2013-01-01,2013,1,1,3,11,14343.0,33
2013-01-01,2013,1,1,3,12,14720.0,32
2013-01-01,2013,1,1,3,13,14817.0,32
2013-01-01,2013,1,1,3,14,14758.0,32
2013-01-01,2013,1,1,3,15,14796.0,31
2013-01-01,2013,1,1,3,16,15095.0,30
2013-01-01,2013,1,1,3,17,16500.0,28
2013-01-01,2013,1,1,3,18,17830.0,27
2013-01-01,2013,1,1,3,19,17747.0,26
2013-01-01,2013,1,1,3,20,17341.0,25
2013-01-01,2013,1,1,3,21,16699.0,23
2013-01-01,2013,1,1,3,22,15676.0,21
2013-01-01,2013,1,1,3,23,14365.0,20
2013-01-01,2013,1,1,3,24,13230.0,18
2013-01-02,2013,1,2,4,1,12547.0,18
2013-01-02,2013,1,2,4,2,12215.0,16
2013-01-02,2013,1,2,4,3,12099.0,15
2013-01-02,2013,1,2,4,4,12196.0,15
2013-01-02,2013,1,2,4,5,12635.0,14
2013-01-02,2013,1,2,4,6,13860.0,14
2013-01-02,2013,1,2,4,7,15970.0,13
2013-01-02,2013,1,2,4,8,17102.0,14
2013-01-02,2013,1,2,4,9,17307.0,14
2013-01-02,2013,1,2,4,10,17417.0,17
2013-01-02,2013,1,2,4,11,17453.0,21
2013-01-02,2013,1,2,4,12,17372.0,24
2013-01-02,2013,1,2,4,13,17220.0,26
2013-01-02,2013,1,2,4,14,17156.0,27
2013-01-02,2013,1,2,4,15,17099.0,27
2013-01-02,2013,1,2,4,16,17296.0,26
2013-01-02,2013,1,2,4,17,18431.0,25
2013-01-02,2013,1,2,4,18,19653.0,23
2013-01-02,2013,1,2,4,19,19592.0,22
2013-01-02,2013,1,2,4,20,19202.0,20
2013-01-02,2013,1,2,4,21,18528.0,19
2013-01-02,2013,1,2,4,22,17398.0,17
2013-01-02,2013,1,2,4,23,15900.0,16
2013-01-02,2013,1,2,4,24,14572.0,13
2013-01-03,2013,1,3,5,1,13792.0,12
2013-01-03,2013,1,3,5,2,13405.0,10
2013-01-03,2013,1,3,5,3,13247.0,9
2013-01-03,2013,1,3,5,4,13316.0,8
2013-01-03,2013,1,3,5,5,13704.0,7
2013-01-03,2013,1,3,5,6,14874.0,6
2013-01-03,2013,1,3,5,7,16963.0,5
2013-01-03,2013,1,3,5,8,18063.0,5
2013-01-03,2013,1,3,5,9,18207.0,4
2013-01-03,2013,1,3,5,10,18153.0,7
2013-01-03,2013,1,3,5,11,18079.0,11
2013-01-03,2013,1,3,5,12,17840.0,14
2013-01-03,2013,1,3,5,13,17549.0,17
